event_id,investor_id,event_timestamp,event_type
1,1,2024-09-22 08:14:00,start_subscription
2,1,2024-09-22 08:33:00,view_offering
3,1,2024-09-22 08:41:00,open_document
4,1,2024-09-22 08:44:00,view_offering
5,1,2024-09-22 08:53:00,view_offering
6,1,2024-09-22 09:06:00,login
7,1,2024-12-06 15:07:00,start_subscription
8,1,2024-12-06 15:12:00,open_document
9,2,2022-04-05 16:17:00,open_document
10,2,2022-06-12 14:21:00,message_support
11,2,2022-06-12 14:37:00,view_offering
12,2,2022-06-12 14:59:00,start_subscription
13,2,2022-06-12 15:09:00,login
14,2,2022-06-12 15:27:00,message_support
15,2,2022-06-12 15:42:00,view_offering
16,2,2022-06-12 15:45:00,open_document
17,2,2022-07-17 11:09:00,login
18,2,2022-07-17 11:30:00,start_subscription
19,2,2022-07-17 11:44:00,message_support
20,2,2022-07-17 11:50:00,start_subscription
21,3,2024-05-23 14:03:00,message_support
22,3,2024-08-08 16:22:00,start_subscription
23,3,2024-08-08 16:45:00,start_subscription
24,3,2024-10-01 13:04:00,open_document
25,3,2024-10-01 13:28:00,open_document
26,3,2024-10-01 13:37:00,message_support
27,3,2024-10-01 13:48:00,start_subscription
28,3,2024-10-01 14:10:00,open_document
29,3,2024-10-01 14:22:00,login
30,4,2022-05-05 17:16:00,view_offering
31,4,2022-05-05 17:35:00,start_subscription
32,4,2022-05-05 17:43:00,message_support
33,4,2022-05-05 17:57:00,open_document
34,4,2022-05-05 18:01:00,start_subscription
35,4,2022-05-05 18:19:00,message_support
36,4,2022-05-05 18:38:00,start_subscription
37,5,2024-10-29 16:02:00,message_support
38,5,2024-10-29 16:06:00,message_support
39,5,2024-10-29 16:27:00,login
40,5,2024-10-29 16:46:00,login
41,5,2024-11-14 16:19:00,message_support
42,5,2024-11-14 16:33:00,start_subscription
43,5,2024-11-14 16:56:00,login
44,5,2024-12-29 23:15:00,start_subscription
45,5,2024-12-29 23:34:00,message_support
46,5,2024-12-29 23:36:00,start_subscription
47,5,2024-12-29 23:57:00,start_subscription
48,5,2024-12-30 00:19:00,login
49,5,2024-12-30 00:26:00,message_support
50,5,2024-12-30 00:32:00,login
51,5,2025-03-21 01:10:00,start_subscription
52,5,2025-03-25 09:09:00,open_document
53,5,2025-03-25 09:31:00,open_document
54,5,2025-03-25 09:43:00,view_offering
55,5,2025-03-25 09:52:00,start_subscription
56,6,2022-01-04 13:21:00,open_document
57,6,2022-01-04 13:46:00,view_offering
58,6,2022-01-04 13:53:00,message_support
59,6,2022-01-04 14:18:00,message_support
60,6,2022-01-04 14:39:00,open_document
61,6,2022-01-04 15:03:00,start_subscription
62,7,2021-08-01 13:03:00,open_document
63,7,2021-08-01 13:15:00,message_support
